,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
0,NVIDIA,5t5g,C++,49,16,8,public,8,16
1,NVIDIA,ADLR,,0,3,0,public,0,3
2,NVIDIA,ai-assisted-annotation-client,C++,33579,300,61,public,61,300
3,NVIDIA,ai-workspace-operator,,885,17,2,public,2,17
4,NVIDIA,air_agent,Python,196,1,3,public,3,1
5,NVIDIA,air_sdk,Python,1327,4,4,public,4,4
6,NVIDIA,ais-etl,Python,7171,13,8,public,8,13
7,NVIDIA,ais-k8s,Go,2649,40,14,public,14,40
8,NVIDIA,aistore,Go,69382,914,124,public,124,914
9,NVIDIA,AMGX,Cuda,2165,389,129,public,129,389
10,NVIDIA,ansible-collection-dpu-ops,Python,56,12,3,public,3,12
11,NVIDIA,ansible-role-enroot,,28,6,15,public,15,6
12,NVIDIA,ansible-role-nvidia-docker,Shell,23,31,23,public,23,31
13,NVIDIA,ansible-role-nvidia-driver,Jinja,60,88,52,public,52,88
14,NVIDIA,apex,Python,15387,7574,1261,public,1261,7574
15,NVIDIA,apt-packaging-cuda-keyring,Shell,9,9,0,public,0,9
16,NVIDIA,apt-packaging-fabric-manager,,11,9,4,public,4,9
17,NVIDIA,apt-packaging-libnvidia-nscq,,14,1,5,public,5,1
18,NVIDIA,arm-kernels,C++,39,3,1,public,1,3
19,NVIDIA,atex,Python,1300,23,6,public,6,23
20,NVIDIA,aws-kube-ci,HCL,94,4,1,public,1,4
21,NVIDIA,BigVGAN,Python,14813,542,62,public,62,542
22,NVIDIA,BioNeMo,,438,9,4,public,4,9
23,NVIDIA,blossom-action,,16420,2,2,public,2,2
24,NVIDIA,bluebazel,TypeScript,1826,9,2,public,2,9
25,NVIDIA,Bobber,Python,192,11,5,public,5,11
26,NVIDIA,build-system-archive-import-examples,Python,15,7,3,public,3,7
27,NVIDIA,caffe,C++,115599,667,270,public,270,667
28,NVIDIA,cbootimage,C,277,27,29,public,29,27
29,NVIDIA,cbootimage-configs,Makefile,96,8,23,public,23,8
30,NVIDIA,cccl,C++,48372,119,32,public,32,119
31,NVIDIA,cccl_devcontainers,,43,4,4,public,4,4
32,NVIDIA,cdt-gdb-adapter,,964,2,0,public,0,2
33,NVIDIA,cdt-nsight,Java,105146,8,5,public,5,8
34,NVIDIA,cheminformatics,Jupyter Notebook,54384,140,38,public,38,140
35,NVIDIA,clara-dicom-adapter,C#,1678,35,14,public,14,35
36,NVIDIA,clara-ia,Shell,60386,13,2,public,2,13
37,NVIDIA,clara-pipeline-operator-sizing-tool,Python,80,5,5,public,5,5
38,NVIDIA,clara-platform-ansible-playbooks,Jinja,192,2,1,public,1,2
39,NVIDIA,clara-platform-python-client,Python,221,12,5,public,5,12
40,NVIDIA,clara-train-examples,HTML,13066,106,75,public,75,106
41,NVIDIA,clara-viz,C++,32395,52,11,public,11,52
42,NVIDIA,CleanUNet,Python,36,227,40,public,40,227
43,NVIDIA,cloud-native-docs,HTML,20131,6,3,public,3,6
44,NVIDIA,cloud-native-stack,Markdown,4620,86,41,public,41,86
45,NVIDIA,Cloud-Trust-Scripts,,123,4,0,public,0,4
46,NVIDIA,CloudXR,C++,39592,58,17,public,17,58
47,NVIDIA,cnmem,C++,59,272,74,public,74,272
48,NVIDIA,cnt-dockerfile-samples,Dockerfile,81,1,1,public,1,1
49,NVIDIA,cocoapi,C++,12458,51,25,public,25,51
50,NVIDIA,CoMD-CUDA,C,9706,29,20,public,20,29
51,NVIDIA,compute-sanitizer-samples,C++,46,35,13,public,13,35
52,NVIDIA,container-canary,Go,259,208,9,public,9,208
53,NVIDIA,container-config,Go,4903,9,6,public,6,9
54,NVIDIA,ContrastiveLosses4VRD,Jupyter Notebook,10026,198,44,public,44,198
55,NVIDIA,cpu-microcode,,1708,12,6,public,6,12
56,NVIDIA,cstruct,Go,22,1,3,public,3,1
57,NVIDIA,cub,Cuda,18372,1570,472,public,472,1570
58,NVIDIA,cuCollections,C++,5065,329,63,public,63,329
59,NVIDIA,cuda-cpp-grammar,,53,5,1,public,1,5
60,NVIDIA,cuda-gdb,C,472736,142,59,public,59,142
61,NVIDIA,cuda-profiler,Python,36,60,23,public,23,60
62,NVIDIA,cuda-python,Python,3929,641,76,public,76,641
63,NVIDIA,cuda-quantum,C++,28091,223,67,public,67,223
64,NVIDIA,cuda-repo-management,Shell,111,8,5,public,5,8
65,NVIDIA,cuda-samples,C,136293,4195,1413,public,1413,4195
66,NVIDIA,CUDALibrarySamples,Cuda,21823,896,237,public,237,896
67,NVIDIA,cuDecomp,C++,3642,48,5,public,5,48
68,NVIDIA,cudnn-frontend,C++,36257,181,43,public,43,181
69,NVIDIA,cumulus-test-drive,Shell,6531,1,0,public,0,1
70,NVIDIA,cuOpt-Resources,Jupyter Notebook,4605,103,19,public,19,103
71,NVIDIA,cuQuantum,Jupyter Notebook,3484,251,53,public,53,251
72,NVIDIA,cutlass,C++,32025,3328,628,public,628,3328
73,NVIDIA,DALI,C++,295806,4598,588,public,588,4598
74,NVIDIA,DALI_deps,Shell,136,9,18,public,18,9
75,NVIDIA,DALI_extra,HTML,697198,33,33,public,33,33
76,NVIDIA,data-science-blueprints,Python,246,6,12,public,12,6
77,NVIDIA,data-science-stack,Shell,16117,324,54,public,54,324
78,NVIDIA,Dataset_Synthesizer,C++,6475,535,119,public,119,535
79,NVIDIA,Dataset_Utilities,Python,153,121,22,public,22,121
80,NVIDIA,DCGM,C++,9906,233,39,public,39,233
81,NVIDIA,dcgm-exporter,Go,4727,439,98,public,98,439
82,NVIDIA,debian-packaging-nvidia-driver,,4088,1,0,public,0,1
83,NVIDIA,Deep-Learning-Accelerator-SW,Python,341,97,9,public,9,97
84,NVIDIA,DeepLearningExamples,Jupyter Notebook,108477,11486,2922,public,2922,11486
85,NVIDIA,deepops,Shell,19407,1051,296,public,296,1051
86,NVIDIA,DeepRecommender,Python,1397,1663,344,public,344,1663
87,NVIDIA,df-nvshmem-prototype,Cuda,20,20,6,public,6,20
88,NVIDIA,dgx-selinux,Makefile,59,10,8,public,8,10
89,NVIDIA,DIGITS,HTML,51154,4102,1408,public,1408,4102
90,NVIDIA,DL4AGX,Shell,3123,118,23,public,23,118
91,NVIDIA,dlinput-tf,Jupyter Notebook,32,2,6,public,6,2
92,NVIDIA,dllogger,Python,20,41,15,public,15,41
93,NVIDIA,DLSS,C,207815,537,71,public,71,537
94,NVIDIA,docker-distribution,Go,12255,3,2,public,2,3
95,NVIDIA,docker-swift,Shell,72,78,36,public,36,78
96,NVIDIA,docker-volume-netshare,Go,9792,5,2,public,2,5
97,NVIDIA,doroce-linux,Shell,23,10,6,public,6,10
98,NVIDIA,dw-ros,C++,13,25,9,public,9,25
99,NVIDIA,earth2mip,Python,1433,14,6,public,6,14
100,NVIDIA,edk2,C,302033,10,11,public,11,10
101,NVIDIA,edk2-edkrepo-manifest,,19,3,4,public,4,3
102,NVIDIA,edk2-non-osi,Assembly,25622,5,3,public,3,5
103,NVIDIA,edk2-nvidia,C,7368,52,25,public,25,52
104,NVIDIA,edk2-nvidia-non-osi,NASL,403,1,3,public,3,1
105,NVIDIA,edk2-platforms,C,24149,4,3,public,3,4
106,NVIDIA,egl-gbm,C,50,14,6,public,6,14
107,NVIDIA,egl-wayland,C,504,228,39,public,39,228
108,NVIDIA,eglexternalplatform,C,14,66,11,public,11,66
109,NVIDIA,Eigensolver_gpu,Fortran,72,59,16,public,16,59
110,NVIDIA,energy-sdk,Jupyter Notebook,7316,27,19,public,19,27
111,NVIDIA,energy-sdk-l2rpn,Python,940,10,1,public,1,10
112,NVIDIA,enroot,Shell,435,474,84,public,84,474
113,NVIDIA,Falcor,,124528,219,31,public,31,219
114,NVIDIA,FasterTransformer,C++,69191,4586,796,public,796,4586
115,NVIDIA,FastPhotoStyle,Python,51946,11038,1215,public,1215,11038
116,NVIDIA,fission,Go,314,5,3,public,3,5
117,NVIDIA,fleet-command,Python,89,7,4,public,4,7
118,NVIDIA,flownet2-pytorch,Python,6436,2971,733,public,733,2971
