,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
0,amzn,.github,,26,11,272,public,272,11
1,amzn,ads-advanced-tools-docs,,549,67,30,public,30,67
2,amzn,ads-pao-amznjs-gtm-template,Smarty,136,0,0,public,0,0
3,amzn,alexa-coho,JavaScript,209,63,26,public,26,63
4,amzn,alexa-skills-kit-js,,8827,1131,1063,public,1063,1131
5,amzn,amazon-ads-advertiser-audience-normalization-sdk-py,Python,16,5,3,public,3,5
6,amzn,amazon-advertising-api-php-sdk,PHP,49,93,72,public,72,93
7,amzn,amazon-codeguru-profiler-for-spark,Java,2337,17,13,public,13,17
8,amzn,amazon-frustration-free-setup-certification-tool,Python,142,8,7,public,7,8
9,amzn,amazon-hub-counter-api-docs,CSS,1289,5,11,public,11,5
10,amzn,amazon-hub-counter-api-samples,Java,24,3,8,public,8,3
11,amzn,amazon-hub-counter-sdk-java,Java,43,3,10,public,10,3
12,amzn,amazon-hub-support,PowerShell,969,5,8,public,8,5
13,amzn,amazon-instant-access-sdk-java,Java,72,10,29,public,29,10
14,amzn,amazon-instant-access-sdk-net,C#,123,10,14,public,14,10
15,amzn,amazon-instant-access-sdk-php,PHP,52,14,22,public,22,14
16,amzn,amazon-instant-access-sdk-ruby,Ruby,16,7,11,public,11,7
17,amzn,amazon-launcher-integration-cordova-plugin,JavaScript,22,10,8,public,8,10
18,amzn,amazon-marketing-stream-examples,Python,156,4,0,public,0,4
19,amzn,amazon-mcf-plugin-for-magento-1,PHP,2238,14,12,public,12,14
20,amzn,amazon-multi-token-completion,Python,40,1,1,public,1,1
21,amzn,amazon-nearest-neighbor-through-ecc,Jupyter Notebook,278,2,0,public,0,2
22,amzn,amazon-pay-api-sdk-dotnet,C#,212,15,12,public,12,15
23,amzn,amazon-pay-api-sdk-java,Java,209,27,17,public,17,27
24,amzn,amazon-pay-api-sdk-nodejs,JavaScript,107,32,18,public,18,32
25,amzn,amazon-pay-api-sdk-php,PHP,81,39,30,public,30,39
26,amzn,amazon-pay-sdk-csharp,C#,28263,46,47,public,47,46
27,amzn,amazon-pay-sdk-java,Java,13957,53,56,public,56,53
28,amzn,amazon-pay-sdk-php,PHP,866,205,97,public,97,205
29,amzn,amazon-pay-sdk-python,Python,83,53,40,public,40,53
30,amzn,amazon-pay-sdk-ruby,Ruby,92,58,33,public,33,58
31,amzn,amazon-pay-sdk-samples,PHP,4573,39,36,public,36,39
32,amzn,amazon-payment-files-tools,Kotlin,151,8,8,public,8,8
33,amzn,amazon-payments-magento-2-plugin,PHP,11617,100,79,public,79,100
34,amzn,amazon-ray,Python,132094,61,26,public,26,61
35,amzn,amazon-s3-gst-plugin,C,55,35,21,public,21,35
36,amzn,amazon-sidewalk-android-samples,Kotlin,177,1,3,public,3,1
37,amzn,amazon-sidewalk-ios-samples,Swift,28,7,0,public,0,7
38,amzn,amazon-succinct-doc-representation,Python,35,5,2,public,2,5
39,amzn,amazon-template-library,C++,66,15,7,public,7,15
40,amzn,amazon-weak-ner-needle,Python,106,99,28,public,28,99
41,amzn,amigitenough,Go,9,5,9,public,9,5
42,amzn,amzn-drivers,C,2992,415,166,public,166,415
43,amzn,amzn-ec2-ena-utilities,Python,408,12,10,public,10,12
44,amzn,auction-gym,Jupyter Notebook,115,105,23,public,23,105
45,amzn,autotrail,Python,176,19,13,public,13,19
46,amzn,aws-apigateway-client-lib,,23,2,6,public,6,2
47,amzn,aws-sigv4-signing-samples,Java,10,1,2,public,2,1
48,amzn,awsssmchaosrunner,Kotlin,296,243,21,public,21,243
49,amzn,basis-point-sets,Python,3307,20,10,public,10,20
50,amzn,buy-with-prime-automate-tenant-validation,JavaScript,120,2,2,public,2,2
51,amzn,buy-with-prime-oauth-handler-ec2,JavaScript,6,1,0,public,0,1
52,amzn,buy-with-prime-saas-integration,TypeScript,148802,0,1,public,1,0
53,amzn,chalet-charging-location-for-electric-trucks,Python,1033,13,0,public,0,13
54,amzn,computer-vision-basics-in-microsoft-excel,,95190,2307,240,public,240,2307
55,amzn,confident-sinkhorn-allocation,Jupyter Notebook,54220,18,6,public,6,18
56,amzn,convolutional-handwriting-gan,Python,875,233,54,public,54,233
57,amzn,cosearcher,Python,56,4,4,public,4,4
58,amzn,credence-to-causal-estimation,Python,3111,24,16,public,16,24
59,amzn,data-jack-knife,Java,306,2,3,public,3,2
60,amzn,debiased-balanced-interleaving,Jupyter Notebook,263,4,2,public,2,4
61,amzn,differential-privacy-bayesian-optimization,Python,7727,25,16,public,16,25
62,amzn,distance-assistant,Python,113,134,37,public,37,134
63,amzn,drs-sample-android-app,Java,690,9,18,public,18,9
64,amzn,drs-sample-ios-app,Objective-C,2562,6,7,public,7,6
