,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
0,apple,app-store-server-library-java,Java,186,34,12,public,12,34
1,apple,app-store-server-library-node,TypeScript,134,39,6,public,6,39
2,apple,app-store-server-library-python,Python,84,49,12,public,12,49
3,apple,app-store-server-library-swift,Swift,824,123,2,public,2,123
4,apple,apple-llvm-infrastructure-tools,C++,777,39,24,public,24,39
5,apple,apple_rules_lint,Starlark,34,132,19,public,19,132
6,apple,ARKitScenes,Python,139,513,53,public,53,513
7,apple,AudioUnit-Examples,Swift,58,55,5,public,5,55
8,apple,AudioUnitSDK,C++,87,112,26,public,26,112
9,apple,axlearn,Python,4976,307,52,public,52,307
10,apple,batch-processing-gateway,Java,582,148,34,public,34,148
11,apple,ccs-caldavclientlibrary,HTML,1741,40,24,public,24,40
12,apple,ccs-caldavtester,Python,3763,49,34,public,34,49
13,apple,ccs-calendarserver,Python,23461,471,147,public,147,471
14,apple,ccs-pycalendar,Python,716,68,34,public,34,68
15,apple,ccs-pykerberos,C,199,113,63,public,63,113
16,apple,ccs-pyopendirectory,C++,179,21,23,public,23,21
17,apple,ccs-pyosxframeworks,Python,43,24,26,public,26,24
18,apple,ccs-pysecuretransport,Python,27,21,20,public,20,21
19,apple,ccs-twistedextensions,Python,1583,17,27,public,27,17
20,apple,coremltools,Python,52538,3627,556,public,556,3627
21,apple,cups,C,105400,1736,454,public,454,1736
22,apple,darwin-libplatform,C,268,126,51,public,51,126
23,apple,darwin-libpthread,C,912,156,66,public,66,156
24,apple,darwin-xnu,C,81924,10781,1659,public,1659,10781
25,apple,device-management,,527,416,35,public,35,416
26,apple,dnikit,Python,12474,50,3,public,3,50
27,apple,example-package-dealer,Swift,31,303,114,public,114,303
28,apple,example-package-deckofplayingcards,Swift,41,175,73,public,73,175
29,apple,example-package-figlet,Swift,17,5,0,public,0,5
30,apple,example-package-fisheryates,Swift,21,180,63,public,63,180
31,apple,example-package-playingcard,Swift,29,295,111,public,111,295
32,apple,FHIRModels,Swift,4250,151,33,public,33,151
33,apple,foundationdb,C++,168569,13242,1270,public,1270,13242
34,apple,fstools,C,79,51,20,public,20,51
35,apple,GCGC,Jupyter Notebook,4890,431,44,public,44,431
36,apple,homebrew-apple,Ruby,508,2179,70,public,70,2179
37,apple,HomeKitADK,C,655,2485,236,public,236,2485
38,apple,indexstore-db,C++,1470,284,70,public,70,284
39,apple,learning-compressible-subspaces,Python,59,13,6,public,6,13
40,apple,learning-subspaces,Python,7123,124,17,public,17,124
41,apple,llvm-monorepo-root,,48,7,8,public,8,7
42,apple,llvm-project,,2418264,875,305,public,305,875
43,apple,llvm-project-v5,C++,1352675,7,10,public,10,7
44,apple,llvm-project-v5-split,C++,709358,6,7,public,7,6
45,apple,MaterialX,,194326,13,1,public,1,13
46,apple,ml-afv,Python,66851,42,19,public,19,42
47,apple,ml-all-pairs,Python,55,34,21,public,21,34
48,apple,ml-ane-transformers,Python,1062,2352,73,public,73,2352
49,apple,ml-aspanformer,Python,22480,136,19,public,19,136
50,apple,ml-autofocusformer,Python,8570,88,4,public,4,88
51,apple,ml-autofocusformer-segmentation,Python,8569,50,1,public,1,50
52,apple,ml-batchquant,Python,79348,17,7,public,7,17
53,apple,ml-calibration,Jupyter Notebook,1029,14,1,public,1,14
54,apple,ml-capsules-inverted-attention-routing,Python,845,120,25,public,25,120
55,apple,ml-cifar-10-faster,Python,17,55,17,public,17,55
56,apple,ml-code-switched-speech-translation,Python,2124,20,11,public,11,20
57,apple,ml-collegial-ensembles,Python,11,9,8,public,8,9
58,apple,ml-core,Python,10519,23,10,public,10,23
59,apple,ml-covid-mobility,R,51278,7,7,public,7,7
60,apple,ml-cread,Python,4286,25,14,public,14,25
61,apple,ml-cvnets,Python,6044,1507,192,public,192,1507
62,apple,ml-cvpr2019-swd,Python,2064,124,25,public,25,124
63,apple,ml-dab,Python,12,18,7,public,7,18
64,apple,ml-data-parameters,Python,9121,71,23,public,23,71
65,apple,ml-destseg,Python,28,29,3,public,3,29
66,apple,ml-dms-dataset,Python,18,36,11,public,11,36
67,apple,ml-dprecs,Jupyter Notebook,1020,10,0,public,0,10
68,apple,ml-dr,Python,1282,55,4,public,4,55
69,apple,ml-duet,Python,48,12,2,public,2,12
70,apple,ml-entropy-reconstruction,Python,6,19,1,public,1,19
71,apple,ml-envmapnet,Python,2023,49,10,public,10,49
72,apple,ml-equivariant-neural-rendering,Jupyter Notebook,46708,93,24,public,24,93
73,apple,ml-facelit,Python,37279,426,36,public,36,426
74,apple,ml-fastvit,Python,3185,1524,82,public,82,1524
75,apple,ml-fct,Python,473,45,8,public,8,45
76,apple,ml-finerecon,Python,163,88,7,public,7,88
77,apple,ml-flair,Jupyter Notebook,6778,69,13,public,13,69
78,apple,ml-gaudi,,264744,588,24,public,24,588
79,apple,ml-gmpi,Python,831,326,32,public,32,326
80,apple,ml-gsn,Python,79900,284,46,public,46,284
81,apple,ml-heart-rate-models,Python,226,31,2,public,2,31
82,apple,ml-hierarchical-confusion-matrix,TypeScript,1871,277,28,public,28,277
83,apple,ml-hypersim,Python,25001,1481,127,public,127,1481
84,apple,ml-interspeech2022-phi_rtn,,34721,10,3,public,3,10
85,apple,ml-knowledge-conflicts,Python,26,47,18,public,18,47
86,apple,ml-live-pose,,132,43,3,public,3,43
87,apple,ml-mkqa,Python,12727,134,20,public,20,134
88,apple,ml-mobileone,Swift,749,582,57,public,57,582
