,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
0,facebook,.github,,6,14,107,public,107,14
1,facebook,akd,Rust,3352,194,33,public,33,194
2,facebook,Ax,Jupyter Notebook,527290,2136,273,public,273,2136
3,facebook,between-meals,Ruby,219,56,54,public,54,56
4,facebook,bpfilter,C,289,51,11,public,11,51
5,facebook,buck,Java,2024585,8568,1230,public,1230,8568
6,facebook,buck2,Rust,96796,2916,150,public,150,2916
7,facebook,buck2-prelude,Starlark,5111,32,20,public,20,32
8,facebook,CacheLib,C++,22099,948,206,public,206,948
9,facebook,chef-cookbooks,Ruby,2252,550,143,public,143,550
10,facebook,chef-utils,Ruby,239,286,92,public,92,286
11,facebook,chisel,Python,3544,9029,814,public,814,9029
12,facebook,componentkit,Objective-C++,40221,5722,608,public,608,5722
13,facebook,Conversion-Leads-Salesforce-APEX,,1305,14,0,public,0,14
14,facebook,create-react-app,JavaScript,25116,100800,26700,public,26700,100800
15,facebook,dns,Go,1552,247,19,public,19,247
16,facebook,docusaurus,TypeScript,248824,47886,7354,public,7354,47886
17,facebook,duckling,Haskell,7502,3920,731,public,731,3920
18,facebook,errpy,Rust,29373,47,4,public,4,47
19,facebook,facebook-android-sdk,Kotlin,33011,5939,3808,public,3808,5939
20,facebook,facebook-business-sdk-codegen,PHP,3041,68,63,public,63,68
21,facebook,facebook-ios-sdk,Swift,91953,7539,3534,public,3534,7539
22,facebook,facebook-java-business-sdk,Java,29773,364,349,public,349,364
23,facebook,facebook-nodejs-business-sdk,JavaScript,1923,443,235,public,235,443
24,facebook,facebook-php-business-sdk,PHP,4625,762,549,public,549,762
25,facebook,facebook-python-business-sdk,Python,13555,1151,662,public,662,1151
26,facebook,facebook-ruby-business-sdk,Ruby,1846,193,171,public,171,193
27,facebook,facebook-sdk-for-unity,C#,25721,455,273,public,273,455
28,facebook,facebook360_dep,HTML,46274,235,59,public,59,235
29,facebook,FAI-PEP,Python,25594,375,95,public,95,375
30,facebook,fatal,C++,2767,988,160,public,160,988
31,facebook,fb303,C++,8338,69,53,public,53,69
32,facebook,fbghc,Haskell,286091,16,16,public,16,16
33,facebook,fbhaddock,HTML,14923,9,18,public,18,9
34,facebook,fbjs,JavaScript,1493,1919,329,public,329,1919
35,facebook,fboss,C++,57777,828,310,public,310,828
36,facebook,FBRetainCycleDetector,Objective-C++,3057,4159,585,public,585,4159
37,facebook,fbt,JavaScript,14454,3819,207,public,207,3819
38,facebook,fbthrift,C++,164540,2488,626,public,626,2488
39,facebook,fishhook,C,40,5000,966,public,966,5000
40,facebook,FLAnimatedImage,Objective-C,4079,210,47,public,47,210
41,facebook,flipper,TypeScript,274518,12929,959,public,959,12929
42,facebook,flow,OCaml,120766,22016,1902,public,1902,22016
43,facebook,folly,C++,35734,26069,5490,public,5490,26069
44,facebook,fresco,Java,75808,16994,3784,public,3784,16994
45,facebook,gfxreconstruct,,39951,1,0,public,0,1
46,facebook,glTF,HTML,219416,1,2,public,2,1
47,facebook,grocery-delivery,Ruby,87,150,65,public,65,150
48,facebook,Haxl,Haskell,713,4204,333,public,333,4204
49,facebook,hermes,C++,49856,8142,582,public,582,8142
50,facebook,hhvm,C++,676077,17811,3149,public,3149,17811
51,facebook,homebrew-fb,Ruby,5597,120,186,public,186,120
52,facebook,hyperion,TypeScript,1267,16,14,public,14,16
53,facebook,idb,Objective-C,98022,4246,448,public,448,4246
54,facebook,idx,JavaScript,1489,1686,66,public,66,1686
55,facebook,igl,C++,10365,2337,142,public,142,2337
56,facebook,infer,OCaml,175315,14335,2220,public,2220,14335
57,facebook,IT-CPE,Ruby,5301,548,127,public,127,548
58,facebook,jscodeshift,JavaScript,1463,8614,501,public,501,8614
59,facebook,jsx,HTML,129,1924,144,public,144,1924
60,facebook,ktfmt,Kotlin,6165,711,50,public,50,711
61,facebook,kuduraft,C++,52065,98,32,public,32,98
62,facebook,lexical,JavaScript,38031,15557,1216,public,1216,15557
63,facebook,lexical-ios,Swift,937,395,14,public,14,395
64,facebook,litho,Java,715886,7594,764,public,764,7594
65,facebook,lr-with-bins,Jupyter Notebook,97,13,7,public,7,13
66,facebook,malware-detection,Python,439,93,15,public,15,93
67,facebook,mariana-trench,C++,14999,991,140,public,140,991
68,facebook,mcrouter,C++,31445,3159,540,public,540,3159
69,facebook,memlab,TypeScript,20658,3968,110,public,110,3968
70,facebook,metro,JavaScript,33665,4899,665,public,665,4899
71,facebook,mvfst,C++,16770,1327,217,public,217,1327
72,facebook,mysql-5.6,C++,3871655,2379,736,public,736,2379
73,facebook,mysql-8.0,C++,1372504,102,41,public,41,102
74,facebook,mysqlclient-python,Python,1586,22,21,public,21,22
75,facebook,netconsd,C,63,40,17,public,17,40
76,facebook,ocaml-scripts,Python,12,4,0,public,0,4
77,facebook,ocamlrep,Starlark,4278,93,14,public,14,93
78,facebook,opaque-ke,Rust,1106,248,39,public,39,248
79,facebook,OpenBIC,C,162193,31,47,public,47,31
80,facebook,openbmc,C,48740,593,297,public,297,593
81,facebook,openbmc-linux,C,1863472,37,39,public,39,37
82,facebook,openbmc-uboot,C,212760,21,24,public,24,21
83,facebook,openr,C++,24731,872,263,public,263,872
84,facebook,OSM-HOT-Tasking-Manager,JavaScript,40575,4,4,public,4,4
85,facebook,PathPicker,Python,1448,4953,311,public,311,4953
86,facebook,prop-types,JavaScript,572,4386,389,public,389,4386
87,facebook,prophet,Python,60148,16396,4423,public,4423,16396
88,facebook,proxygen,C++,22688,7893,1529,public,1529,7893
89,facebook,pyre-action,,5,15,12,public,12,15
90,facebook,pyre-check,OCaml,111720,6474,448,public,448,6474
91,facebook,pyre2,C++,49,618,175,public,175,618
92,facebook,pysa-action,,43,13,12,public,12,13
93,facebook,Rapid,JavaScript,424358,355,69,public,69,355
94,facebook,react,JavaScript,346343,213390,44862,public,44862,213390
95,facebook,react-devtools,,21682,11025,1862,public,1862,11025
96,facebook,react-native,Java,864050,112119,23823,public,23823,112119
97,facebook,react-native-deprecated-modules,JavaScript,164,52,28,public,28,52
98,facebook,react-native-website,JavaScript,165412,1820,4328,public,4328,1820
99,facebook,react-router-3,,21386,5,1,public,1,5
100,facebook,redex,C++,37693,5907,678,public,678,5907
101,facebook,regenerator,JavaScript,8348,3769,1195,public,1195,3769
102,facebook,relay,Rust,4977661,17931,1853,public,1853,17931
103,facebook,ristretto255-js,JavaScript,752,29,8,public,8,29
104,facebook,robolectric,Java,28597,61,36,public,36,61
105,facebook,rocksdb,C++,208612,26037,5915,public,5915,26037
106,facebook,sapling,Rust,209887,5210,229,public,229,5210
107,facebook,sapp,Python,1588,117,38,public,38,117
108,facebook,screenshot-tests-for-android,Java,2651,1713,243,public,243,1713
109,facebook,SoLoader,Java,732,1238,186,public,186,1238
