,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
0,nasa,1d-pinn-reconstruction,Jupyter Notebook,39122,6,4,public,4,6
1,nasa,889-Compliance-SAM-Tool-,Python,267,2,0,public,0,2
2,nasa,abaverify,Python,183,30,19,public,19,30
3,nasa,ACCoRD,,0,2,0,public,0,2
4,nasa,ADOPT,Python,3368,17,10,public,10,17
5,nasa,aerie,,0,1,0,public,0,1
6,nasa,AGTF30,MATLAB,386,25,24,public,24,25
7,nasa,airfoil-learning,Python,2974,20,7,public,7,20
8,nasa,aladyn,,4607,3,3,public,3,3
9,nasa,aladynpi,,8335,4,2,public,2,4
10,nasa,AmesGCM,Fortran,227646,5,1,public,1,5
11,nasa,AMMPER,,0,2,0,public,0,2
12,nasa,Analysis_SDK,,0,2,0,public,0,2
13,nasa,aos-dr,C,1162,7,3,public,3,7
14,nasa,api-docs,SCSS,84042,388,117,public,117,388
15,nasa,api-docs-stage,,9769,4,2,public,2,4
16,nasa,apod-api,Python,944,682,143,public,143,682
17,nasa,AppEEARS-Data-Resources,Jupyter Notebook,32357,4,2,public,2,4
18,nasa,AprilNav,C++,1041,60,15,public,15,60
19,nasa,AQUAMI-TGO,Python,380,3,0,public,0,3
20,nasa,ARC-SGE-interns-19,CSS,9,5,2,public,2,5
21,nasa,ASDC_DAAC_TUTORIALS,,1,3,0,public,0,3
22,nasa,ASDC_Data_and_User_Services,Jupyter Notebook,16028,8,5,public,5,8
23,nasa,astrobee,C++,495321,850,286,public,286,850
24,nasa,astrobee_android,Java,106819,99,50,public,50,99
25,nasa,astrobee_gds,Java,322278,17,11,public,11,17
26,nasa,astrobee_media,CMake,76618,8,17,public,17,8
27,nasa,astrobot,JavaScript,4016,72,41,public,41,72
28,nasa,atd2-fuser,Java,34943,17,6,public,6,17
29,nasa,autodoc,,5500,106,61,public,61,106
30,nasa,BGA,,20575,8,0,public,0,8
31,nasa,bingo,Python,5475,41,28,public,28,41
32,nasa,bingocpp,C++,1022,12,6,public,6,12
33,nasa,bp,C,102,3,3,public,3,3
34,nasa,bplib,C,5796,25,13,public,13,25
35,nasa,BrightComets,Python,223109,18,10,public,10,18
36,nasa,camel,Python,72,0,1,public,1,0
37,nasa,cape,Python,56745,17,7,public,7,17
38,nasa,cape-doc,,12934,3,0,public,0,3
39,nasa,CARA_Analysis_Tools,MATLAB,34171,42,24,public,24,42
40,nasa,cash,Shell,1232,18,27,public,27,18
41,nasa,CCDD,Java,635562,75,31,public,31,75
42,nasa,ccmc-swpc-cat-web,Python,42,6,1,public,1,6
43,nasa,CCSDS-MAL-Http-Binding-Xml-Encoding,Java,192,3,6,public,6,3
44,nasa,CertWare,Java,794122,46,37,public,37,46
45,nasa,CF,C,12338,54,42,public,42,54
46,nasa,cfdtools,Fortran,9771,45,11,public,11,45
47,nasa,cFE,C,47892,357,185,public,185,357
48,nasa,CFL3D,Fortran,119552,260,170,public,170,260
49,nasa,cFS,CMake,7291,567,190,public,190,567
50,nasa,CFS-101,,9550757,66,14,public,14,66
51,nasa,cFS-EDS-GroundStation,Python,835,16,4,public,4,16
52,nasa,cFS-GroundSystem,Python,524,71,56,public,56,71
53,nasa,CFS_CI,C,2276,10,13,public,13,10
54,nasa,CFS_IO_LIB,C,2419,17,14,public,14,17
55,nasa,cfs_lib,C,10,15,10,public,10,15
56,nasa,CFS_TO,C,2308,10,16,public,16,10
57,nasa,channel-emulator,C++,2204,66,26,public,26,66
58,nasa,ci_lab,C,210,24,31,public,31,24
59,nasa,cmr-csw,Ruby,7547,9,13,public,13,9
60,nasa,cmr-dummy-repo,,0,2,0,public,0,2
61,nasa,cmr-graphql,JavaScript,13661,10,4,public,4,10
62,nasa,cmr-metadata-review,Ruby,10115,21,13,public,13,21
63,nasa,cmr-opensearch,Ruby,34025,18,28,public,28,18
64,nasa,cmr-stac,TypeScript,7247,42,21,public,21,42
65,nasa,coda,,0,1,0,public,0,1
66,nasa,code-nasa-gov,CSS,32430,238,81,public,81,238
67,nasa,code.nasa.gov_legacy,CSS,244,29,32,public,32,29
68,nasa,common-mapping-client,JavaScript,31357,62,31,public,31,62
69,nasa,Common-Metadata-Repository,Clojure,56604,319,96,public,96,319
70,nasa,CompDam_DGD,Fortran,1281,100,59,public,59,100
71,nasa,Computational-Materials-Miniapp1,,3231,3,4,public,4,3
72,nasa,concept-tagging-api,Python,187,15,9,public,9,15
73,nasa,concept-tagging-training,Python,241,14,9,public,9,14
74,nasa,conduit_cms,,1,4,2,public,2,4
75,nasa,content-guide,CSS,941,4,4,public,4,4
76,nasa,Coordinate-systems-class-library,C++,197,25,8,public,8,25
