,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
0,netflix,.github,,6,4,3,public,3,4
1,netflix,aegisthus,Java,623,322,92,public,92,322
2,netflix,af_tsa,C,68,6,4,public,4,6
3,netflix,aminator,Python,864,938,178,public,178,938
4,netflix,apache-pyiceberg,Java,42023,1,0,public,0,1
5,netflix,archaius,Java,3814,2422,489,public,489,2422
6,netflix,asgard,Groovy,26590,2234,434,public,434,2234
7,netflix,astyanax,Java,6987,1034,394,public,394,1034
8,netflix,atlas,Scala,99219,3330,279,public,279,3330
9,netflix,atlas-docs,Python,104146,32,25,public,25,32
10,netflix,aws-autoscaling,Shell,17,429,93,public,93,429
11,netflix,awsobjectmapper,Groovy,228,41,41,public,41,41
12,netflix,batch_request_api,Ruby,33,102,19,public,19,102
13,netflix,batch_request_client,Ruby,16,23,11,public,11,23
14,netflix,bbparse,C,11,7,7,public,7,7
15,netflix,bettertls,Go,340,150,27,public,27,150
16,netflix,blesk,JavaScript,1647,69,23,public,23,69
17,netflix,bless,Python,284,2701,235,public,235,2701
18,netflix,blitz4j,Java,1253,559,123,public,123,559
19,netflix,brutal,Python,108,200,47,public,47,200
20,netflix,cachemover,C++,1567,30,6,public,6,30
21,netflix,CassJMeter,Java,2441,163,71,public,71,163
22,netflix,chaosmonkey,Go,2025,13872,1069,public,1069,13872
23,netflix,Cloud-Prize,,274,165,460,public,460,165
24,netflix,codec_compare,Python,13,26,13,public,13,26
25,netflix,concurrency-limits,Java,719,3040,293,public,293,3040
26,netflix,conductor,Java,29066,10225,2228,public,2228,10225
27,netflix,conductor-community,Java,14570,54,65,public,65,54
28,netflix,conductor-docs,Python,5144,0,0,public,0,0
29,netflix,conductor-ui,JavaScript,3664,13,9,public,9,13
30,netflix,consoleme,Python,34825,3015,250,public,250,3015
31,netflix,curator,Java,7545,2139,442,public,442,2139
32,netflix,denominator,Java,4178,574,119,public,119,574
33,netflix,derand,Java,137,29,6,public,6,29
34,netflix,dgs,HTML,3272,21,48,public,48,21
35,netflix,dgs-codegen,Kotlin,2315,156,85,public,85,156
36,netflix,dgs-examples-java,Java,1045,132,58,public,58,132
37,netflix,dgs-examples-java-2.7,Java,93,2,4,public,4,2
38,netflix,dgs-examples-java.latest,Java,193,1,3,public,3,1
39,netflix,dgs-examples-java16,Java,192,9,9,public,9,9
40,netflix,dgs-examples-kotlin,Kotlin,142,83,39,public,39,83
41,netflix,dgs-examples-kotlin-2.7,Kotlin,93,0,4,public,4,0
42,netflix,dgs-examples-webflux,Java,113,15,7,public,7,15
43,netflix,dgs-federation-example,Kotlin,630,101,43,public,43,101
44,netflix,dgs-framework,Kotlin,5085,2774,263,public,263,2774
45,netflix,dgs-intellij-plugin,Kotlin,1834,19,11,public,11,19
46,netflix,dial-reference,C,581,220,82,public,82,220
47,netflix,dispatch,Python,45331,4171,432,public,432,4171
48,netflix,dispatch-docker,Shell,71,187,83,public,83,187
49,netflix,dyno,Java,7322,184,118,public,118,184
50,netflix,dyno-queues,Java,580,261,62,public,62,261
51,netflix,dynomite,C,8887,4113,542,public,542,4113
52,netflix,dynomite-manager,Java,1769,91,64,public,64,91
53,netflix,e2nest,Python,43413,2,1,public,1,2
54,netflix,eclipse-jifa,Java,2675,4,3,public,3,4
55,netflix,eclipse-mat,,0,1,0,public,0,1
56,netflix,edda,Scala,3169,555,140,public,140,555
57,netflix,edda-client,Java,1416,4,10,public,10,4
58,netflix,element-server,JavaScript,84,7,9,public,9,7
59,netflix,ember-batch-request,JavaScript,80,49,12,public,12,49
60,netflix,ember-nf-graph,JavaScript,8136,241,46,public,46,241
61,netflix,ember-nf-graph-examples,JavaScript,1898,14,21,public,21,14
62,netflix,eslint-config-netflix,JavaScript,115,81,23,public,23,81
63,netflix,eslint-config-netflix-dea,JavaScript,39,17,11,public,11,17
64,netflix,eureka,Java,12359,11997,3721,public,3721,11997
65,netflix,eureka-ui,JavaScript,81,29,21,public,21,29
66,netflix,EVCache,Java,3012,1908,243,public,243,1908
67,netflix,fabricator,Java,386,11,14,public,14,11
68,netflix,falcor,JavaScript,24450,10328,503,public,503,10328
69,netflix,falcor-datasource-chainer,JavaScript,84,8,16,public,16,8
70,netflix,falcor-express,JavaScript,966,61,24,public,24,61
71,netflix,falcor-express-demo,HTML,124,246,52,public,52,246
72,netflix,falcor-hapi,JavaScript,20,55,24,public,24,55
73,netflix,falcor-hapi-demo,HTML,108,14,13,public,13,14
74,netflix,falcor-http-datasource,JavaScript,74,55,33,public,33,55
75,netflix,falcor-json-graph,JavaScript,85,56,20,public,20,56
76,netflix,falcor-observable,JavaScript,135,12,13,public,13,12
77,netflix,falcor-path-syntax,JavaScript,32,18,20,public,20,18
78,netflix,falcor-path-utils,JavaScript,326,28,21,public,21,28
79,netflix,falcor-restify,JavaScript,15,30,18,public,18,30
80,netflix,falcor-restify-demo,HTML,7,8,14,public,14,8
81,netflix,falcor-router,JavaScript,624,103,45,public,45,103
82,netflix,falcor-router-demo,JavaScript,394,236,61,public,61,236
