,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
0,spotify,.github,,5,0,8,public,8,0
1,spotify,aioshumway,Python,26,3,2,public,2,3
2,spotify,android-auth,HTML,936,137,67,public,67,137
3,spotify,android-sdk,HTML,2687,431,121,public,121,431
4,spotify,android-store-service,Python,61,5,5,public,5,5
5,spotify,annoy,C++,2054,11934,1140,public,1140,11934
6,spotify,annoy-java,Java,1007,134,44,public,44,134
7,spotify,apollo,Java,2867,1650,233,public,233,1650
8,spotify,apollo-elide,Java,36,1,2,public,2,1
9,spotify,apollo-metrics,,114,0,3,public,3,0
10,spotify,apps-tutorial,,9178,620,150,public,150,620
11,spotify,async-datastore-client,Java,128,72,29,public,29,72
12,spotify,async-google-pubsub-client,Java,359,156,40,public,40,156
13,spotify,backup-utils,Shell,3146,4,5,public,5,4
14,spotify,basic-pitch,Python,2064,2332,155,public,155,2332
15,spotify,basic-pitch-ts,TypeScript,10055,153,11,public,11,153
16,spotify,batty,Python,104,0,1,public,1,0
17,spotify,bazel-tools,Java,591,163,17,public,17,163
18,spotify,beam,Java,211855,3,1,public,1,3
19,spotify,big-data-rosetta-code,Scala,310,282,34,public,34,282
20,spotify,bigtable-autoscaler,Java,1913,69,23,public,23,69
21,spotify,boilerplate-app,,193,77,32,public,32,77
22,spotify,bucket-runner,JavaScript,822,19,6,public,6,19
23,spotify,cartography,Python,1942,8,2,public,2,8
24,spotify,cassandra-extra,Java,186,6,1,public,1,6
25,spotify,cassandra-medusa,Python,125,25,6,public,6,25
26,spotify,cassandra-opstools,Java,203,55,8,public,8,55
27,spotify,cassandra-reaper,,23363,234,64,public,64,234
28,spotify,certcheck,Python,785,6,3,public,3,6
29,spotify,chartify,Python,23462,3386,307,public,307,3386
30,spotify,code-of-conduct,,10,26,10,public,10,26
31,spotify,collectd,C,6166,5,2,public,2,5
32,spotify,comet,Python,591,57,12,public,12,57
33,spotify,comet-common,Python,70,10,13,public,13,10
34,spotify,comet-core,Python,175,21,19,public,19,21
35,spotify,completable-futures,Java,1331,368,52,public,52,368
36,spotify,condor,Java,76,2,1,public,1,2
37,spotify,confidence,Python,9644,206,24,public,24,206
38,spotify,confidence-openfeature-provider-go,Go,47,0,0,public,0,0
39,spotify,confidence-openfeature-provider-js,TypeScript,225,5,0,public,0,5
40,spotify,confidence-openfeature-provider-kotlin,Kotlin,328,4,0,public,0,4
41,spotify,confidence-openfeature-provider-python,Python,40,0,0,public,0,0
42,spotify,confidence-openfeature-provider-swift,Swift,277,5,0,public,0,5
43,spotify,container-agent,Python,403,2,2,public,2,2
44,spotify,cookiecutter-golang,Go,60,27,33,public,33,27
45,spotify,coordinator,HTML,62027,277,24,public,24,277
46,spotify,crtauth,Python,137,118,18,public,18,118
47,spotify,crtauth-java,Java,565,16,6,public,6,16
48,spotify,crtauth-java-agent-signer-apache,Java,128,0,1,public,1,0
49,spotify,crunch-lib,Java,364,26,2,public,2,26
50,spotify,cstar,Python,332,253,36,public,36,253
51,spotify,daemon-java,Java,136,16,3,public,3,16
52,spotify,dataenum,Java,221,155,16,public,16,155
53,spotify,DataflowJavaSDK,Java,6534,3,1,public,1,3
54,spotify,dataproc-java-submitter,Java,40,7,3,public,3,7
55,spotify,dataprocxy,Python,21,7,9,public,9,7
56,spotify,dbeam,Java,1051,176,55,public,55,176
57,spotify,debify,Shell,112,60,20,public,20,60
58,spotify,dh-virtualenv,Python,446,1574,191,public,191,1574
59,spotify,diffuser,Swift,127,43,11,public,11,43
60,spotify,dns-java,Java,245,200,46,public,46,200
61,spotify,docgenerator,Java,61,17,4,public,4,17
62,spotify,docker-alpine,,4,11,6,public,6,11
63,spotify,docker-bigtable,Go,10,72,10,public,10,72
64,spotify,docker-cassandra,Shell,39,218,75,public,75,218
65,spotify,docker-client,Java,3609,1429,552,public,552,1429
66,spotify,docker-gc,Shell,159,5068,459,public,459,5068
67,spotify,docker-kafka,Shell,1270,1397,651,public,651,1397
68,spotify,docker-maven-plugin,Java,803,2652,583,public,583,2652
69,spotify,docker-stress,Python,27,124,21,public,21,124
70,spotify,dockerfile-maven,Java,257,2711,491,public,491,2711
71,spotify,dockerfile-mode,Emacs Lisp,87,503,78,public,78,503
72,spotify,docker_interface,Python,85,34,16,public,16,34
73,spotify,drserv,Python,368,8,3,public,3,8
74,spotify,druid,,294781,1,1,public,1,1
75,spotify,duck,Ruby,541,38,10,public,10,38
76,spotify,echoprint-codegen,C++,1484,951,289,public,289,951
77,spotify,echoprint-server,Java,2954,396,96,public,96,396
78,spotify,elasticsearch-index-window,Java,183,18,5,public,5,18
79,spotify,elitzur,Scala,311,20,19,public,19,20
80,spotify,eslint-config-oss,JavaScript,963,1,4,public,4,1
81,spotify,etcd,Go,10224,6,0,public,0,6
82,spotify,featran,Scala,3059,467,72,public,72,467
83,spotify,ffwd,Java,2076,77,33,public,33,77
84,spotify,ffwd-client-java,Java,407,6,8,public,8,6
85,spotify,ffwd-http-client,Java,71,3,11,public,11,3
86,spotify,ffwd-ruby,Ruby,1250,106,16,public,16,106
87,spotify,flink,Java,308547,1,0,public,0,1
88,spotify,flink-docker,,369,1,2,public,2,1
89,spotify,flink-on-k8s-operator,Go,3051,168,70,public,70,168
90,spotify,flo,Java,19512,146,32,public,32,146
91,spotify,flume-syslog-source2,Java,146,21,7,public,7,21
92,spotify,flyte-flink-plugin,Go,896,17,11,public,11,17
93,spotify,fmt-maven-plugin,Java,271,287,63,public,63,287
94,spotify,folsom,Java,1089,140,69,public,69,140
95,spotify,foss-root,,55,1,7,public,7,1
96,spotify,futures-extra,Java,258,133,33,public,33,133
97,spotify,futuristic-feline,Java,643,9,10,public,10,9
98,spotify,gcp-audit,Python,19,153,33,public,33,153
99,spotify,gcp-firewall-enforcer,Python,12,76,14,public,14,76
100,spotify,gcs-tools,Scala,30742,69,15,public,15,69
101,spotify,ghelog,Python,212,0,2,public,2,0
102,spotify,gimme,Python,156,103,7,public,7,103
103,spotify,git-test,Shell,45,200,44,public,44,200
104,spotify,github-java-client,Java,464,93,72,public,72,93
105,spotify,google-http-java-client,Java,6491,3,3,public,3,3
106,spotify,gordon,Python,198,37,6,public,6,37
107,spotify,gordon-gcp,Python,571,12,7,public,7,12
108,spotify,gordon-introspection,Python,75,0,2,public,2,0
109,spotify,gordon-janitor,Python,103,3,3,public,3,3
110,spotify,gordon-janitor-gcp,Python,180,1,4,public,4,1
111,spotify,griffin,Python,1353,15,6,public,6,15
112,spotify,hadoop-openpgp-codec,Java,138,17,6,public,6,17
113,spotify,hdfs2cass,Java,206,75,21,public,21,75
114,spotify,helios,Java,7741,2097,251,public,251,2097
115,spotify,helios-go,Go,204,0,2,public,2,0
116,spotify,helios-skydns,Java,322,6,3,public,3,6
117,spotify,heroic,Java,9886,845,112,public,112,845
118,spotify,heroic-client-go,Go,15,1,2,public,2,1
119,spotify,heroic-client-java,Java,58,0,6,public,6,0
120,spotify,homebrew-public,Ruby,266,48,27,public,27,48
121,spotify,hornet,Scala,662,11,4,public,4,11
122,spotify,HubFramework,Objective-C,148010,1865,154,public,154,1865
123,spotify,hush-tab,JavaScript,28,0,3,public,3,0
124,spotify,hype,Java,537,35,3,public,3,35
125,spotify,hyperflo,Scala,23,3,1,public,1,3
126,spotify,ieee-spm-vocals-tutorial,Jupyter Notebook,9036,55,6,public,6,55
127,spotify,ios-auth,Objective-C,106,5,0,public,0,5
128,spotify,ios-ci,Shell,39,40,4,public,4,40
129,spotify,ios-sdk,Objective-C,32347,578,183,public,183,578
130,spotify,ios-style,,16,241,36,public,36,241
131,spotify,java-hamcrest,Java,213,82,16,public,16,82
132,spotify,java-lkk,Java,140,1,1,public,1,1
133,spotify,jenkins-coverage-poster,Groovy,153,14,16,public,16,14
134,spotify,jira-lkk-bridge,Java,124,1,2,public,2,1
135,spotify,JniHelpers,C++,411,577,110,public,110,577
136,spotify,jsconfeu-2013,JavaScript,927,26,12,public,12,26
137,spotify,kafka,Scala,25303,3,0,public,0,3
138,spotify,kairosdb,Java,38318,5,1,public,1,5
139,spotify,kernel-common,,1031504,0,0,public,0,0
140,spotify,klio,Python,77298,804,50,public,50,804
141,spotify,lemur,Python,8659,0,4,public,4,0
142,spotify,lighthouse-audit-service,TypeScript,1663,85,33,public,33,85
143,spotify,limbo,Scala,139,6,2,public,2,6
144,spotify,lingon,JavaScript,515,161,26,public,26,161
145,spotify,linux,C,312288,201,266,public,266,201
146,spotify,logging-java,Java,154,19,23,public,23,19
147,spotify,luigi,Python,10746,16804,2379,public,2379,16804
148,spotify,lyceum,Clojure,43,59,11,public,11,59
149,spotify,mace,,105,4,7,public,7,4
150,spotify,magnolify,Scala,1695,151,28,public,28,151
