,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
0,youtube,.allstar,,0,1,2,public,2,1
1,youtube,.github,,0,3,0,public,0,3
2,youtube,api-samples,Java,816,4992,2966,public,2966,4992
3,youtube,cobalt,,1653269,158,85,public,85,158
4,youtube,cobalt_sandbox,,1300237,16,28,public,28,16
5,youtube,doorman,Go,10729,1853,116,public,116,1853
6,youtube,geo-search-tool,JavaScript,648,137,73,public,73,137
7,youtube,h5vcc,C++,416035,53,46,public,46,53
8,youtube,h5vcc-testharness.js,JavaScript,4399,6,10,public,10,6
9,youtube,h5vcc-web-platform-tests,HTML,147604,8,9,public,9,8
10,youtube,h5vcc_hh,C++,22734,15,19,public,19,15
11,youtube,js_mse_eme,JavaScript,800593,85,58,public,58,85
12,youtube,rcat,Java,295,6,4,public,4,6
13,youtube,spfjs,JavaScript,3477,2189,172,public,172,2189
14,youtube,spitfire,Python,591,389,65,public,65,389
15,youtube,vfl,,0,5,0,public,0,5
16,youtube,YCSB,Java,30096,9,8,public,8,9
17,youtube,youtube-chat-for-minecraft,Java,150,57,27,public,27,57
18,youtube,youtube-ios-player-helper,Objective-C,189,1591,688,public,688,1591
19,youtube,youtubechatbot,,10,82,60,public,60,82
20,youtube,yt-analytics-dump-ruby,Ruby,120,10,16,public,16,10
21,youtube,yt-android-player,Java,192,128,88,public,88,128
22,youtube,yt-auto-curate-ruby,Ruby,116,15,17,public,17,15
23,youtube,yt-direct-lite-android,Java,6040,274,176,public,176,274
24,youtube,yt-direct-lite-iOS,Objective-C,282,200,69,public,69,200
25,youtube,yt-direct-lite-javascript,JavaScript,420,32,25,public,25,32
26,youtube,yt-shuffle-playlist-ruby,Ruby,116,10,15,public,15,10
27,youtube,yt-watchme,Java,691,337,145,public,145,337
28,youtube,yt_channel_section_targeter,HTML,19,6,23,public,23,6
